"Timestamp","Please, select your college/department ","Please, specify your program","Which of the following best describes your current status?","How many years into your current program are you?","Do you receive UVM stipend?","Is your stipend...","On the scale of 1-5, where 1 is ""extremely dissatisfied"" and 5 is ""extremely satisfied"", how satisfied are you with your current UVM stipend? ","Do you pay comprehensive fees?","Do you own or rent the house where you currently live?","Do you have any dependants (a child, spouse, parent, or certain other relative to whom you contribute all or a major amount of necessary financial support)?","How much do you pay for rent/ mortgage monthly? Please specify the exact amount in $ that you personally pay. ","Do you pay..","On average, how much do you pay monthly for utilities? (Heat, Electricity, Internet) ","Do you have a budgeted savings per month?"," Please list your top 3 monthly expenses","Please list top 3 things on which you would like to spend more money monthly","Please provide any additional comments or observations"
"2019/02/08 7:40:37 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Counseling","Master's student","First year","No","","","Yes, full fee","Rent","No","$600","Partial amount of the rent/ mortgage","$50-$100","No","rent, food, gas","savings, activities (going out to eat, trips, etc)",""
"2019/02/08 7:43:33 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Counseling","Master's student","First year","No","","","Yes, full fee","Own","No","700.00","Partial amount of the rent/ mortgage","$50-$100","Yes","Mortgage, Fuel, Food","Entertainment",""
"2019/02/08 7:48:23 PM EST","COLLEGE OF ARTS AND SCIENCES","experimental psychology","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","4","No, my grant/program covers it","Rent","No","480.00","Partial amount of the rent/ mortgage","$50-$100","No","rent, groceries, medical expenses","savings",""
"2019/02/08 7:49:11 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","5","Yes, full fee","Rent","Yes","$775","Partial amount of the rent/ mortgage","$150-$200","Yes","Rent, gas (heat), groceries","Savings, credit card payments, eating out at restaurants or clothing","Utilities and rent are insanely expensive in Burlington, both of which are exacerbated by how trashy and energy inefficient most housing is in the area."
"2019/02/08 7:52:41 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Chemistry","Doctoral student","Fifth year","No","","","Yes, full fee","Rent","No","$650","Partial amount of the rent/ mortgage","$200-$300","No","Rent, utilities and food","Vacation, hookers and blow","Everyone wants more money, but honestly, the stipend is manageable. It's never fun to have to budget, but it teaches responsibility. "
"2019/02/08 7:53:56 PM EST","COLLEGE OF ARTS AND SCIENCES","Materials Science","Doctoral student","First year","Yes, Full (20h) GTA","9-month stipend?","5","Yes, full fee","Rent","No","550","Partial amount of the rent/ mortgage","$50-$100","Yes","Food, rent, beer","Savings, savings, savings",""
"2019/02/08 7:57:43 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Communication Sciences and Disorders","Master's student","Second year","No","","","No, I am not required to pay the fees","Rent","No","$812.50","Partial amount of the rent/ mortgage","$50-$100","Yes","rent, utilities, groceries","groceries, entertainment",""
"2019/02/08 8:30:27 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Chemistry","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","$800","Partial amount of the rent/ mortgage","$100-$150","No","Rent, Utilities, and Necessities (Insurance, Phone Bill, Food, and Gas)","Spending money mainly","I'd like to save more money. Can't really do that on this stipend"
"2019/02/08 9:23:47 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Community Development and Applied Economics ","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","4","Yes, full fee","Rent","No","684","Full amount of the rent/ mortgage","$50-$100","No","Rent/utilities, food, car payment","Fitness classes, health supplements, organic food ",""
"2019/02/08 9:25:40 PM EST","COLLEGE OF MEDICINE","Neuroscience","Doctoral student","Second year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","4","Yes, full fee","Rent","No","650","Partial amount of the rent/ mortgage","$100-$150","No","rent, utilities, food","food, supporting local businesses, entertainment",""
"2019/02/08 9:25:50 PM EST","COLLEGE OF ARTS AND SCIENCES","Clinical Psychology","Doctoral student","First year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","$1600","Full amount of the rent/ mortgage","$150-$200","Yes","Rent, Food, Electricity","Furniture payments, quality ingredients, any luxury at all haha","Although our stipends are competitive, cost of living in Burlington is preposterously high. Right now I break even just about every month and I do not purchase luxuries or eat out at restaurants; this makes it very difficult to save money to cover summer expenses when I am not covered by my GTA, and the only reason I can afford to live here is because my partner works full-time and covers other expenses while I cover rent."
"2019/02/08 9:43:49 PM EST","COLLEGE OF ARTS AND SCIENCES","Neuroscience","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","900","Full amount of the rent/ mortgage","$100-$150","No","Rent, Utilities, Groceries","Being able to eat/drink out, clothes, other activities or hobbies (ie would like to try skiing but can't afford to)","I interviewed at 4 other schools when I was applying to grad school and UVM had the lowest stipend of all of them."
"2019/02/08 9:57:49 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","4","Yes, full fee","Rent","No","615","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, food, utilities","Savings",""
"2019/02/08 9:58:09 PM EST","COLLEGE OF ARTS AND SCIENCES","Biology","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","2","Yes, full fee","Own","No","$800","Full amount of the rent/ mortgage","$150-$200","No","Rent, utilities, property taxes","Better groceries, supporting local businesses, retirement fund","It is hard to live on this stipend"
"2019/02/08 10:02:43 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Social Work","Master's student","First year","No","","","Yes, full fee","Rent","No","700","Partial amount of the rent/ mortgage","$100-$150","No","Rent, utilities, groceries, gas for internship travel","Savings, undergrad student loans, fitness","I wish there was a stipend for the hard work MSW students do in their year-long internships. Social work is critical and jobs are growing fast across the country! We need more financial support. "
"2019/02/08 10:03:13 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","No","800","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, food, utilities ","Food, fun, savings","The stipend provided is not equivalent to other institutions with similar cost of living, especially given the amount of our stipend that immediately goes back into fees. "
"2019/02/08 10:08:31 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Human Functioning and Rehabilitation Sciences","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Own","No","1400","Partial amount of the rent/ mortgage","Greater than $300","Yes","Mortgage, heat, cell phone","Health/fitness, healthy food, self-care",""
"2019/02/08 11:15:34 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","PhD in Natural Resources","Doctoral student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","2","Yes, full fee","Rent","No","1250","Full amount of the rent/ mortgage","$100-$150","No","Rent, car loan, car insurance"," dental insurance, savings, winter activities/leisure",""
"2019/02/08 11:18:08 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Electrical Engineering ","Doctoral student","Fifth year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","No","$925","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, food, utilities ","Food, books, clothes",""
"2019/02/08 11:18:40 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Counseling","Master's student","Second year","No","","","Yes, full fee","Rent","No","$1300","Partial amount of the rent/ mortgage","nothing (included in rent)","Yes","Food, Gas","Better food, gym membership, doctors appointments ",""
"2019/02/08 11:27:53 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and Soil Science","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","Yes, full fee","Rent","No","$520","Partial amount of the rent/ mortgage","Less than $50","Yes","Rent, undergrad student loans, food","A nicer more comfortable apartment, have some savings, food and social","Having the comprehensive fee taken out every month definitely takes a hit to my monthly pay and it would be nice to not have it be so much. I am very money conscious, but it is hard living in an expensive area."
"2019/02/09 12:24:23 AM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and Soil Science","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","Yes","1200","Full amount of the rent/ mortgage","$150-$200","No","Rent, food, car","Food, recreation, heat","Burlington is a very expensive city and it is difficult to live here on a graduate student stipend. In retrospect, it may have been more prudent to attend a state university in a more rural city"
"2019/02/09 3:00:25 AM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","plant biology","Doctoral student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","Yes, full fee","Rent","Yes","$800","Full amount of the rent/ mortgage","nothing (included in rent)","No","Daycare, Groceries, transportation","geting a car, household electronics, clothing",""
"2019/02/09 7:28:43 AM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant & Soil","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Own","Yes","$800","Partial amount of the rent/ mortgage","$200-$300","No","housing, food, childcare","savings, healthcare",""
"2019/02/09 7:59:02 AM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Third year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Own","Yes","1406","Shared bank account with spouse ","$200-$300","Yes","Mortgage, daycare, food","Food, activities, donation ","Definitely couldn't have a kid and pay rent / mortgage without a spouse working in a job which pays significantly more than mine.  "
"2019/02/09 8:20:39 AM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Doctor of Physical Therapy","Doctoral student","First year","No","","","I’m not sure","Rent","No","725","Full amount of the rent/ mortgage","$100-$150","No","","",""
"2019/02/09 8:37:55 AM EST","COLLEGE OF ARTS AND SCIENCES","Clinical Psychology PhD","Doctoral student","Forth year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","No","750","I am not sure what this question is asking. I pay one part of the rent as I have 3 other roommates. ","$50-$100","No","Rent, Car (insurance + gas), Food","SAVINGS, Undergrad loans, health care (I have put off some specialist care visits because of finances)","I think our stipend is good in comparison to some other programs around the country, however, I think the cost of living in Burlington is a lot higher than in many small college towns. For a program that is as long as ours (5-6 years), it is very difficult to be in a position where I cannot be saving money for my future or working on paying off my undergraduate loans. Particularly given how much work we do for the University and for our department, I would like to see the stipend raised to 30,000. Higher education is inaccessible for many individuals who come from a low SES background, particularly for a career pathway where you will make a comfortable but modest income in most cases. Finances is an incredibly large source of stress for me and my fellow graduate students. When a car breaks down, you get an unexpected bill, or have health care costs, I typically have to borrow money and then spend several months saving every penny to pay someone back. This is a very difficult place to be in!"
"2019/02/09 8:50:04 AM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","","Master's student","","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","750","Partial amount of the rent/ mortgage","$50-$100","Yes","","",""
"2019/02/09 9:32:46 AM EST","COLLEGE OF ARTS AND SCIENCES","English MA","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","3","No, my grant/program covers it","Rent","No","775","Partial amount of the rent/ mortgage","$50-$100","No","Rent, Utilities, Grocery","Grocery, Travel","I want to be able to save, am unable to"
"2019/02/09 9:48:31 AM EST","COLLEGE OF MEDICINE","MPH","Master's student","First year","No","","","Yes, full fee","Own","Yes","1000","Full amount of the rent/ mortgage","Greater than $300","No","mortgage, car payment, food","free time",""
"2019/02/09 10:00:02 AM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Educational Leadership & Policy Studies","Doctoral student","Third year","Yes, Mixed full-time (20h), GRA+GTA","9-month stipend?","3","Yes, full fee","Rent","Yes","650","Partial amount of the rent/ mortgage","$150-$200","No","rent, gas, food","establishing savings, paying down debt","I think UVM's stipend is competitive compared to other programs, but is still not enough to live on. It's very difficult to make ends meet as a full time doctoral student without the free time to work a side job"
"2019/02/09 10:17:25 AM EST","GROSSMAN SCHOOL OF BUSINESS","Sustainable-Innovation MBA","Master's student","First year","No","","","Yes, full fee","Rent","No","1,075","Full amount of the rent/ mortgage","$200-$300","No","(Rent), Internet /cable, heat, food ","Food, social events, ","It’s expensive to live close to the school, but as a full-time student, I don’t have time to make a long commute so I have to pay a premium for my location."
"2019/02/09 10:27:09 AM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","MATS","Doctoral student","First year","Yes, Full (20h) GTA","9-month stipend?","2","No, my grant/program covers it","Rent","No","650","Partial amount of the rent/ mortgage","$50-$100","No","Rent,utilities, grocery","",""
"2019/02/09 10:30:19 AM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Social Work","Master's student","Second year","Yes, Part-time (10h)","9-month stipend?","4","Yes, full fee","Own","No","$375","Partial amount of the rent/ mortgage","$100-$150","No","Housing, Food, Car","Savings, Retirement, Home Repairs",""
"2019/02/09 10:30:32 AM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural resources","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","5","Yes, full fee","Rent","No","$775","Full amount of the rent/ mortgage","$50-$100","No","Food, social activities, travel","Food, social activities, travel ","I'm funded by VT EPSCoR so my stipend is a little bit higher than most Rubenstein GRAs or GTAs I think, so I'm a bit better off. "
"2019/02/09 10:36:42 AM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Food Systems","Doctoral student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","2","Yes, full fee","Rent","Yes","1900","Full amount of the rent/ mortgage","$100-$150","No","rent, food, heat","food, yoga, family activities","The stipend is very low given the high cost of rent in Chittenden County"
"2019/02/09 11:07:42 AM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Computer Science AMP","Master's student","First year","No","","","Yes, full fee","Rent","No","650","Full amount of the rent/ mortgage","Less than $50","Yes","Rent, Groceries, Pet supplies","Food, Music Lessons, Travel",""
"2019/02/09 11:28:23 AM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","","Master's student","First year","No","","","Yes, full fee","Rent","Yes","$1700","Partial amount of the rent/ mortgage","$200-$300","No","Rent, food, car payments","Travel, experiences,","If I didn't have a working husband, graduate school would be pretty impossible financially, especially at the out of state tuition rate. Though I will hopefully come out of UVM and go into a decently paying career, I am worried about paying for student loans. "
"2019/02/09 12:03:52 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Electrical Engineering","Doctoral student","First year","No","","","Yes, full fee","Rent","No","1100","Full amount of the rent/ mortgage","$150-$200","No","Gas, Phone Bills","Entertaiment",""
"2019/02/09 12:06:47 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Mechanical Engineering","Master's student","First year","Yes, Full (20h) GRA","9-month stipend?","3","Yes, full fee","Rent","No","635","Full amount of the rent/ mortgage","$50-$100","No","Rent, Food, Student Fees","Savings, Food, Healthy living","The student fee ABSOLUTELY makes it impossible to thrive as a graduate student. There should be an opt out system, it is absolutely ridiculous that I am expected to make ends meat on a meager salary and then HAVE to pay the school back. Let me break it down for you: I make about 20 thousand dollars a year, and the fees are about 2k a year. Thats 10 percent of my salary that is getting wasted on things I don't use. I am continuing after my masters, thats about 6-8 years of school. I'll be done around my 30s. Thats 6-8 years of reduced savings. You are absolutely killing us with these fees. It needs to stop."
"2019/02/09 12:13:14 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Social Work","Master's student","First year","No","","","No, my grant/program covers it","Own","Yes","1575.00","Full amount of the rent/ mortgage","Greater than $300","Yes","mortgage, car pmt, fuel","student loan, personal loan, pocket money",""
"2019/02/09 12:20:53 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","MPA","Master's student","First year","No","","","No, I am not required to pay the fees","Own","Yes","2220.00","Full amount of the rent/ mortgage","Greater than $300","Yes","Mortgage, groceries, vehicle payment","Debt payoff","Though I am a graduate student I am only part time.  I work full time."
"2019/02/09 1:54:45 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources","Doctoral student","Fifth year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, reduced fee (I am a continuous studies student)","Rent","Yes","$850","Partial amount of the rent/ mortgage","$50-$100","No","Day care/child care, rent, food","savings, paying off student loan, investing","Supporting a child on a grad student stipend is very difficult."
"2019/02/09 2:10:01 PM EST","COLLEGE OF ARTS AND SCIENCES","History","Master's student","First year","Yes, Part-time (10h)","Other","1","Yes, full fee","Rent","No","$825","Partial amount of the rent/ mortgage","$50-$100","Yes","Food, medical expenses, additional over the counter medical expenses","Activities for enjoyment, food, better medical equipment","Currently the stipend covers my rent and that’s it. I pay for everything else. I am currently putting in more than 10 hours per week at my part time GTA position but they won’t pay me for a 20 hour position. And the cost of living is only going up. "
"2019/02/09 2:59:26 PM EST","COLLEGE OF MEDICINE","MPH","Master's student","Forth year","No","","","Yes, full fee","Own","Yes","$700","Partial amount of the rent/ mortgage","$150-$200","No","Mortgage, property tax, health insurance","savings, sustainable energy, self care",""
"2019/02/09 3:36:33 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Complex Systems and Data Science MS","Master's student","First year","No","","","Yes, full fee","Rent","No","760","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, groceries, gas","Food, Books(academic and otherwise), Music",""
"2019/02/09 3:45:28 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","","Doctoral student","First year","No","","","","Rent","No","1200","Full amount of the rent/ mortgage","$50-$100","No","rent, food, bills","Saving!",""
"2019/02/09 3:54:45 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Third year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","$656.00","Full amount of the rent/ mortgage","nothing (included in rent)","No","Rent, groceries, gas","Exercise (climbing gym membership, ski pass), paying off undergrad loans, fun (art/pottery class, my garden, adventures with friends)",""
"2019/02/09 3:56:32 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Animal Science","Master's student","First year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","No","1500","Full amount of the rent/ mortgage","$100-$150","Yes","Rent, Bills, Food","Resturants, Pets, Food",""
"2019/02/09 4:24:19 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","HESA","Master's student","First year","Yes, Full (20h) GTA","9-month stipend?","3","Yes, full fee","Rent","No","600","Full amount of the rent/ mortgage","nothing (included in rent)","Yes","rent, car insurance, food","food, savings",""
"2019/02/09 4:52:56 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Communication sciences and disorders","Master's student","Second year","No","","","Yes, full fee","Rent","No","675","Full amount of the rent/ mortgage","$50-$100","No","Rent, food, utilities","Leisure",""
"2019/02/09 7:30:46 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Animal Nutrition and Food Sciences","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","3","Yes, full fee","Rent","No","700","Full amount of the rent/ mortgage","Less than $50","No","Grocery, Toiletries, Cell phone bills","Car expense, Kitchen appliances, furnitures","Maximum part of the stipend is spent on house rent, house insurance and grocery with no savings."
"2019/02/09 10:20:08 PM EST","COLLEGE OF ARTS AND SCIENCES","","Doctoral student","First year","Yes, Full (20h) GTA","9-month stipend?","1","Yes, full fee","Rent","No","700","Full amount of the rent/ mortgage","nothing (included in rent)","No","Rent, food, groceries","food and health care",""
"2019/02/09 10:53:11 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","MSENR","Master's student","First year","Yes, Mixed full-time (20h), GRA+GTA","12-month stipend?","3","Yes, full fee","Rent","No","675","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, food, utilities","Recreation, media, concerts ",""
"2019/02/10 9:24:05 AM EST","COLLEGE OF MEDICINE","Pharmacology","Master's student","Second year","No","","","Yes, full fee","Rent","No","704","Full amount of the rent/ mortgage","$50-$100","No","food","",""
"2019/02/10 9:25:00 AM EST","COLLEGE OF ARTS AND SCIENCES","Clinical Psychology","Doctoral student","First year","Yes, Full (20h) GRA","12-month stipend?","4","Yes, full fee","Rent","No","680","Partial amount of the rent/ mortgage","$50-$100","No","Rent, food, utilities","Savings",""
"2019/02/10 10:23:22 AM EST","COLLEGE OF ARTS AND SCIENCES","English","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","No, my grant/program covers it","Rent","No","675.00","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, Bills, Student Loans","Savings, Food, Activities (music, art, etc.) ","I work another job in order to pay my bills. I pay just over $1500 a month in bills - I earn $1626 a month from UVM. I am grateful to get paid at all to attend school but it is not a livable wage without a second (and third - my partner's) income. "
"2019/02/10 10:40:49 AM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Special Education","Master's student","First year","No","","","No, I am not required to pay the fees","Own","No","750","Partial amount of the rent/ mortgage","$50-$100","Yes","food/groceries, electric, past loans","loans, health & wellness",""
"2019/02/10 11:01:45 AM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","MMS","Master's student","First year","No","","","Yes, full fee","Rent","No","400","Full amount of the rent/ mortgage","$50-$100","No","Rent, bills, food ","Food",""
"2019/02/10 11:12:30 AM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","MAT","Master's student","First year","No","","","Yes, full fee","Rent","No","$800","Full amount of the rent/ mortgage","$50-$100","No","Rent, groceries, healthcare","savings, car repairs, school supplies",""
"2019/02/10 11:52:20 AM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","PhD in Natural Resources ","Doctoral student","Third year","Yes, Full (20h) GRA","Other","3","Yes, reduced fee (I am a continuous studies student)","Other:","No","Live at home.","Live at home.","nothing (included in rent)","No","Insurance (health, dental, car), food, gas (car)","Savings, social activities/hobbies, travel","Current funding is great (3 years via grant), no idea what I will do when it ends. I have limited access to TA options and there do not seem to be many options for PhD students to cover the 4th or 5th years needed to complete the degree. Getting an outside job is difficult due to family responsibilities. So, while I am currently satisfied with my funding, I am very unsatisfied with my options in a few months."
"2019/02/10 12:28:06 PM EST","COLLEGE OF MEDICINE","cmb","Doctoral student","Six years and more","Yes, Full (20h) GRA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","Yes","600","Full amount of the rent/ mortgage","$100-$150","No","rent, food, utilities, dental/eye insurance","dental/eye insurance, recreation and destress, food",""
"2019/02/10 12:35:10 PM EST","COLLEGE OF AGRICULTURE AND LIFE SCIENCES","Plant and Soil Science","Doctoral student","First year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Own","No","$725.00","Partial amount of the rent/ mortgage","$150-$200","No","Mortgage, Utilities, Pet care","Outdoor activities, groceries, entertainment (going to get drinks, see a movie, out to eat, etc.)","While my stipend can be creatively managed to stay afloat, entering my program with significant credit card debt accrued during my Master's degree, and having a partner who also has a low income, contribute to making it difficult to feel capable of thriving. I am constantly worried about my household's lack of financial security. I am currently exploring non-academic employment to supplement my stipend to pay off credit card debt. I also feel like it wears on my mental health to work hard for years without having the funds to do things for fun to offset the pressures of graduate work. "
"2019/02/10 1:26:33 PM EST","COLLEGE OF MEDICINE","CMB","Doctoral student","Forth year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","No","$1000","Partial amount of the rent/ mortgage","$100-$150","No","Rent, car expenses (repairs, gas, insurance), food","","Incredibly expensive to live in the greater Burlington area as a single person (living alone). Much more feasible for couples to live together in a small apartment and split rent on a one-bedroom (which seems to skew the types of individuals who accept and join our program toward people who are in a long term relationship and are living with their partner), or to find a roommate for a small two bedroom and sacrifice independence. When looking at the current cost of living for a one-bedroom apartment and general cost of living, our stipends through UVM fall do short of average for our program (we have collected and documented this data for our specific program, compared to the programs where we most often lose students). Although the dollar amount may be similar or not so far off (our stipend is around $3,000 short of the average for comparable programs), this makes a significant difference for quality of life (in terms of cost of living for a Burlington apt). During interview/ recruitment weekends, this is always noticed and commented on by interviewees, who always ask about rent  and cost of living. We’re honest. Our recruitment numbers have suffered in recent years, with accepted applicants citing the mismatch between the stipend and cost of living as a reason for selecting another offer. As the graduate college seeks to increase enrollment in the coming years, this will certainly amplify these problems with the limited housing market in Burlington - and will presumably lead to more students having to live further from campus and commute via personal vehicles - increasing the need for parking on campus.  I’d love to be able to put more money toward savings - I’m only able to save minimally, and when I have an unexpected expense (surprise, the car needs new breaks) it quickly eats away at that safety net  that it takes me a while to build. I am aware that other individuals in my program are food insecure toward the end of the month, and many skip meals in order to make ends meet from time to time. "
"2019/02/10 1:30:17 PM EST","COLLEGE OF ARTS AND SCIENCES","psycholgy","Doctoral student","Third year","Yes, Full (20h) GTA","12-month stipend?","4","Yes, full fee","Rent","No","695","Partial amount of the rent/ mortgage","$50-$100","No","Food, Utilities, ","paying student loans",""
"2019/02/10 1:48:35 PM EST","COLLEGE OF ARTS AND SCIENCES","English Literature","Master's student","Second year","Yes, Full (20h) GTA","9-month stipend?","3","No, my grant/program covers it","Rent","No","625.00","Partial amount of the rent/ mortgage","$50-$100","Yes","Rent, Food, Car payment","Student loans, travel, savings","The stipend is enough to live on (with a roommate), but not enough to save on, or make payments to student loans. It's a living, but there is little thriving."
"2019/02/10 3:47:47 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Masters in Art of Teaching ","Master's student","First year","No","","","Yes, full fee","Rent","No","$850","Full amount of the rent/ mortgage","Less than $50","Yes","Rent, gas, food ","Exercise classes, visiting family, professional development opportunities","The last question is weirdly worded"
"2019/02/10 4:13:57 PM EST","COLLEGE OF ENGINEERING AND MATHEMATICAL SCIENCES","Mechanical Engineering PhD","Doctoral student","Forth year","Yes, Full (20h) GRA","12-month stipend?","3","Yes, reduced fee (I am a continuous studies student)","Rent","No","1150","Full amount of the rent/ mortgage","$50-$100","No","rent, food, car expenses","savings","It is not really about UVMs stipend, is about cost of living in Burlington/Vermont in general. Prices do not make sense here for such a small town..."
"2019/02/10 4:54:08 PM EST","COLLEGE OF EDUCATION AND SOCIAL SERVICES","Higher Education and Student Affairs","Master's student","First year","Yes, Full (20h) GRA","Other","4","Yes, full fee","Rent","No","512.50","Partial amount of the rent/ mortgage","$50-$100","No","Rent, groceries, utilities","Student loans, social life, self care",""
"2019/02/10 5:28:24 PM EST","GROSSMAN SCHOOL OF BUSINESS","Macc ","Master's student","First year","Yes, Part-time (10h)","9-month stipend?","4","Yes, full fee","Rent","No","434","Partial amount of the rent/ mortgage","$100-$150","Yes","Rent, Food, Car ","Clothes, Food, Activites ",""
"2019/02/10 5:40:32 PM EST","RUBENSTEIN SCHOOL OF ENVIRONMENT AND NATURAL RESOURCES","Natural Resources PhD","Doctoral student","Second year","Yes, Full (20h) GRA","12-month stipend?","2","Yes, full fee","Rent","No","800","Full amount of the rent/ mortgage","$50-$100","Yes","Rent, car payment, groceries","groceries, clothing, social activities ",""
"2019/02/10 5:54:27 PM EST","COLLEGE OF NURSING AND HEALTH SCIENCES","Doctor of Physical Therapy","Doctoral student","Second year","No","","","","Rent","No","600","I split with 2 others. $600 x 3 = $1800 total monthly","$100-$150","No","Groceries, gas, recreational life (lunch, bar, etc.)","Nothing... but I guess groceries, recreational life, and gym memberships (for a better private gym than at UVM, it's terrible)","I don't spend a lot of money because I can't. I strictly receive loan money and that is it. I do work a part time job, that may only cover gas and a few beers."
