University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
University of California - San Diego (UCSD),Bioinformatics and Systems Biology,32000,1.21,2017-2018,1st,biology
Yale University (YU),Biological and Biomedical Sciences,35150,1.42,2017-2018,1st,biological and biomedical sciences
University of California - Berkeley,Anthropolog,26000,0.94,2017-2018,1st,anthropolog
University of Chicago (UC),Music,24000,0.99,2017-2018,1st,music
Stony Brook University - SUNY,Linguistics,18000,0.64,2017-2018,1st,linguistics
Emory University,Art History,23102,0.99,2016-2017,3rd,art history
Michigan State University (MSU),business,25000,1.22,2016-2017,1st,business
Columbia University (CU),"Integrated Cellular, Molecular, and Biomedical Studies",39510,1.33,2017-2018,1st,biology
University of California - San Francisco (UCSF),Bioinformatics,37000,1.24,2017-2018,NA,bioinformatics
Georgia State University (GSU),"Film, Media and Theatre",15000,0.64,2017-2018,4th,"film, media and theatre"
University of California - Los Angeles (UCLA),Aerospace Engineering,34000,1.31,2017-2018,2nd,aerospace
Cornell University (CU),business,37600,1.55,2017-2018,NA,business
University at Buffalo - SUNY,social work,18000,0.86,2017-2018,1st,social work
University of Alabama (UA),Physics,24996,1.19,2017-2018,1st,physics
Columbia University (CU),Classical Studies,33000,1.11,2017-2018,1st,classical studies
University of Cincinnati (UC),"Molecular Genetics, Biochemistry, Microbiology",26000,1.35,2017-2018,3rd,biology
University of Southern California (USC),Health Economics,36312,1.4,2017-2018,1st,health
University of Pennsylvania,Annenberg School,31000,1.29,2017-2018,1st,annenberg school
University of Minnesota - Twin Cities (UM),Anthropology,16395,0.72,2017-2018,1st,anthropology
University of Miami (UM),History,21000,0.88,2017-2018,5th,history
Rensselaer Polytechnic Institute (RPI),Computer Science,25975,1.14,2017-2018,4th,computer science
University of Alabama - Birmingham (UAB),Mathematics,24000,1.11,2017-2018,2nd,mathematics
University of Minnesota - Twin Cities (UM),Physics,25992,1.13,2017-2018,1st,physics
Massachusetts Institute of Technology (MIT),electrical engineering and computer science,39600,1.42,2017-2018,1st,computer science
Emory University,Neuroscience,30000,1.29,2016-2017,NA,neuro
Polytechnic Institute of New York University,Chemical and Biomolecular Engineering,31200,1.05,2017-2018,1st,chemical and biomolecular engineering
University of Notre Dame (ND),Chemical and Biomolecular Engineering,30000,1.47,2017-2018,1st,chemical and biomolecular engineering
University of Massachusetts - Amherst (UMass),political science,19175,0.84,2017-2018,5th,political science
University of Florida (UF),Computer Science,23000,1.01,2017-2018,1st,computer science
University of California - Los Angeles (UCLA),Chemistry and Biochemistry,30500,1.18,2017-2018,1st,chemistry
Boston University (BU),Bioengineering,33000,1.15,2017-2018,1st,bioengineering
University of Chicago (UC),public policy,33500,1.38,2017-2018,NA,public policy
Ohio State University (OSU),public policy,31500,1.57,2017-2018,NA,public policy
New York University (NYU),IOMS,29000,0.98,2016-2017,3rd,ioms
Cornell University (CU),Development Sociology,31726,1.31,2017-2018,1st,development sociology
Johns Hopkins University (JHU),Sociology,29500,1.15,2017-2018,1st,sociology
Brown University,Sociology,33180,1.46,2017-2018,1st,sociology
Duke University (DU),Physics,23800,1.07,2017-2018,4th,physics
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,21200,0.95,2017-2018,1st,biomedical engineering
University of Southern California (USC),Programs in Biological and Biomedical Sciences,33000,1.28,2017-2018,1st,programs in biological and biomedical sciences
University of New Hampshire (UNH),Ocean Engineering,30933,1.3,2017-2018,1st,ocean engineering
University of North Carolina - Chapel Hill (UNC),Political Science,20000,0.9,2017-2018,1st,political science
South Dakota State University (SDSU),NA,16950,0.9,2017-2018,NA,NA
Harvard University (HU),finance,41000,1.43,2016-2017,1st,finance
Yale University (YU),Forestry & Environmental Studies,29650,1.2,2017-2018,2nd,forestry & environmental studies
California Institute of Technology (Caltech),Biology,33500,1.29,2017-2018,3rd,biology
University of California - San Francisco (UCSF),Pharmaceutical Sciences and Pharmacogenomics,37000,1.24,2017-2018,3rd,pharmacycogenomics
North Dakota State University (NDSU),Plant Pathology,14000,0.73,2016-2017,5th,agriculture
Emory University,Neuroscience,30539,1.31,2017-2018,1st,neuro
Harvard University (HU),NA,37200,1.3,2016-2017,2nd,NA
Duke University (DU),Neurobiology PhD,31160,1.4,2017-2018,1st,biology
University of Southern California (USC),Materials Science,34000,1.31,2017-2018,1st,materials science
University of Alabama - Birmingham (UAB),Graduate Biomedical Sciences,29000,1.35,2016-2017,2nd,graduate biomedical sciences
Utah State University (USU),Sociology,19515,0.94,2017-2018,1st,sociology
Emory University,Sociology,24000,1.03,2017-2018,1st,sociology
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,35000,1.57,2017-2018,1st,biomedical engineering
Boston College (BC),chemistry,31000,1.11,2016-2017,1st,chemistry
University of Michigan - Ann Arbor (UM),EECS,31200,1.35,2017-2018,1st,eecs
University of Pennsylvania,Camb,32000,1.33,2016-2017,4th,camb
University of Wisconsin - Madison (UW),Forest and Wildlife Ecology,21000,0.92,2016-2017,2nd,forest and wildlife ecology
Northwestern University (NU),Political science,29800,1.23,2016-2017,2nd,political science
Baylor College of Medicine,Quantitative and Computational Biology,32000,1.46,2017-2018,1st,biology
University of Massachusetts Medical Center - Worcester,GSBS,30000,1.33,2017-2018,5th,gsbs
Kansas State University (K-State),Biology,34000,1.54,2017-2018,2nd,biology
University of Missouri (MU),NA,25000,1.22,2017-2018,1st,NA
Arizona State University (ASU),Materials Science & Engineering,25902,1.17,2017-2018,5th,materials science & engineering
North Carolina State University (NCSU),Biomedical Engineering,28000,1.23,2017-2018,1st,biomedical engineering
University of Mississippi Medical Center,Microbiology and Immunology,24150,1.19,2017-2018,4th,biology
University of Colorado - Boulder (UCB),Political Science,19800,0.78,2017-2018,NA,political science
University of Michigan - Ann Arbor (UM),Cell and Developmental Biology,30272,1.31,2017-2018,4th,biology
Drexel University (DU),Physics,23500,0.97,2017-2018,1st,physics
Northeastern University (NU),Economics,22000,0.77,2017-2018,1st,economics
Princeton University,Art and Archaeology,31800,1.25,2017-2018,2nd,art and archaeology
New York University (NYU),Philosophy,32292,1.09,2017-2018,1st,philosophy
Vanderbilt University,Political Science,31000,1.35,2017-2018,1st,political science
Pennsylvania State University (Penn State),Political Science,24040,1.07,2017-2018,NA,political science
Brandeis University,English,24480,0.88,2016-2017,1st,english
CUNY Graduate School and University Center,Musicology,25000,0.84,2017-2018,1st,musicology
University of Illinois - Chicago (UIC),Pharmacy,18000,0.74,2016-2017,5th,pharmacycy
University of Wisconsin - Madison (UW),Materials Science and Engineering PhD Program,25000,1.09,2017-2018,1st,materials science and engineering phd program
Yale University (YU),Management,35100,1.42,2017-2018,1st,management
Dartmouth College,Engineering,28000,1.13,2017-2018,1st,engineering
Yale University (YU),Sociology,31000,1.25,2017-2018,1st,sociology
University of Maryland - Baltimore (UMB),Pharmaceutical Sciences,25000,0.97,2017-2018,1st,pharmacyceutical sciences
University of Utah,Biosciences,28000,1.26,2017-2018,1st,biosciences
Montana State University (MSU),Ecology,21080,1.01,2017-2018,3rd,ecology
University of Colorado - Boulder (UCB),Neuroscience (MCDB),32000,1.25,2017-2018,1st,neuro
University of California - Los Angeles (UCLA),Psychology,40610,1.57,2016-2017,4th,psychology
University of California - San Diego (UCSD),Sociology,20000,0.76,2017-2018,1st,sociology
Harvard University (HU),Biological and Biomedical Science,37235,1.3,2017-2018,5th,biological and biomedical science
Tulane University (TU),aging,24000,1.04,2017-2018,1st,aging
Stanford University (SU),N/A,40000,1.39,2017-2018,1st,n/a
University of Mississippi Medical Center,Neuro,24150,1.19,2016-2017,2nd,neuro
Boston University (BU),Biology,30000,1.05,2016-2017,1st,biology
Dartmouth College,Neuroscience,30000,1.21,2017-2018,1st,neuro
University of Texas - Arlington (UTA),Mechanical Engineering,16000,0.73,2017-2018,1st,mechanical engineering
Columbia University (CU),NA,39000,1.31,2016-2017,1st,NA
Stanford University (SU),Applied Physics,39420,1.37,2017-2018,5th,physics
Virginia Tech,"Genetics, Bioinformatics and Computational Biology",27000,1.28,2016-2017,1st,biology
Johns Hopkins University (JHU),Biology,33000,1.28,2017-2018,5th,biology
Medical University of South Carolina,Biological Sciences,28000,1.16,2017-2018,1st,biological sciences
New York University (NYU),Biology,36000,1.21,2016-2017,2nd,biology
University of Oklahoma (OU),biology,14000,0.7,2017-2018,3rd,biology
Mount Sinai School of Medicine,Neuroscience,34000,1.14,2016-2017,2nd,neuro
University of Toledo,Biological Sciences,25526,1.36,2017-2018,NA,biological sciences
University of Maryland - College Park (UMD),pharmaceutical sciences,25000,0.83,2017-2018,1st,pharmacyceutical sciences
Drexel University (DU),Environmental Engineering,24000,1,2017-2018,1st,environmental engineering
University of Notre Dame (ND),Theology,23000,1.12,2017-2018,1st,theology
University of Rochester (UR),Translational Biomedical Sciences,29000,1.36,2017-2018,1st,translational biomedical sciences
Ohio State University (OSU),Cognitive Psychology,25800,1.29,2017-2018,1st,psychology
Michigan State University (MSU),Microbiology & Molecular Genetics,28300,1.38,2017-2018,1st,biology
Rutgers the State University of New Jersey - New Brunswick,Public Health - PhD,25000,0.97,2017-2018,NA,health
University of Minnesota - Twin Cities (UM),"Biochemistry, molecular biology, and biophysics",28250,1.23,2017-2018,1st,biology
Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,31500,1.35,2017-2018,1st,aerospace
Emory University,Physics,25982,1.12,2017-2018,1st,physics
University of Texas - Austin (UT),Institute for Neuroscience,28000,1.23,2016-2017,3rd,neuro
Arizona State University (ASU),Engineering,30000,1.35,2017-2018,1st,engineering
Princeton University,Chemical Engineering,36150,1.42,2017-2018,1st,chemical engineering
University of Florida (UF),NA,24920,1.1,2017-2018,1st,NA
Yale University (YU),Comparative Literature,31000,1.25,2017-2018,1st,comparative literature
University of Pennsylvania,Psychology - Clinical,32000,1.33,2017-2018,1st,psychology
University of Minnesota - Twin Cities (UM),"Ecology, Evolution and Behaviour",24116,1.05,2015-2016,4th,"ecology, evolution and behaviour"
Indiana University- Purdue University - Indianapolis (IUPUI),School of Informatics,21000,1.02,2017-2018,1st,school of informatics
University of Florida (UF),Biomedical Sciences,29400,1.29,2017-2018,1st,biomedical sciences
Virginia Tech,Psychology,24700,1.17,2016-2017,5th,psychology
Duke University (DU),Cognitive Neuroscience Admitting Program,29420,1.56,2014-2015,1st,neuro
University of Massachusetts - Amherst (UMass),Neuroscience and behavior,25200,1.1,2017-2018,4th,neuro
University of Illinois - Urbana- Champaign (UIUC),English,25000,1.14,2016-2017,1st,english
University of Illinois - Urbana- Champaign (UIUC),English,21817,0.99,2016-2017,1st,english
Loyola University Chicago (LUC),English,20000,0.82,2016-2017,1st,english
University of Chicago (UC),English,18000,0.74,2016-2017,1st,english
University of Chicago (UC),English,30000,1.24,2016-2017,1st,english
University of Chicago (UC),English,33000,1.36,2016-2017,1st,english
University of Hawaii - Manoa (UH),English,19200,0.63,2016-2017,1st,english
Georgia State University (GSU),English,15000,0.64,2016-2017,1st,english
University of Georgia (UGA),English,16700,0.79,2016-2017,1st,english
Emory University,English,24000,1.03,2016-2017,1st,english
University of South Florida (UCF),English,15000,0.68,2016-2017,1st,english
University of Miami (UM),English,22000,0.92,2016-2017,1st,english
Florida State University (FSU),English,22000,0.94,2016-2017,1st,english
University of Florida (UF),English,17400,0.77,2016-2017,1st,english
University of Delaware (UD),English,24000,0.95,2016-2017,1st,english
Washington University in St. Louis (Wash U),English,25860,1.25,2016-2017,1st,english
Washington University in St. Louis (Wash U),English,23360,1.13,2016-2017,1st,english
University of Delaware (UD),English,20000,0.79,2016-2017,1st,english
George Washington University (GW),English,23000,0.75,2016-2017,1st,english
The Catholic University of America,English,18000,0.58,2016-2017,1st,english
Yale University (YU),English,30225,1.22,2016-2017,1st,english
University of Connecticut (UConn),English,24107,0.99,2016-2017,1st,english
University of Denver (DU),English,17500,0.78,2016-2017,1st,english
University of Colorado - Boulder (UCB),English,22000,0.86,2016-2017,1st,english
University of California - Santa Barbara (UCSB),English,20000,0.76,2016-2017,1st,english
University of California - Riverside (UCR),English,20000,0.83,2016-2017,1st,english
University of California - Davis (UCD),English,20000,0.83,2016-2017,1st,english
University of California - Berkeley,English,30000,1.08,2016-2017,1st,english
University of California - Berkeley,English,32000,1.15,2016-2017,1st,english
University of California - Los Angeles (UCLA),English,24000,0.93,2016-2017,1st,english
University of Southern California (USC),English,30000,1.16,2016-2017,1st,english
University of Southern California (USC),English,20000,0.77,2016-2017,1st,english
Claremont Graduate University (CGU),English,20000,0.77,2016-2017,1st,english
Claremont Graduate University (CGU),NA,20000,0.77,2016-2017,1st,NA
University of Arkansas - Fayetteville,NA,23333,1.17,2016-2017,1st,NA
University of Arkansas - Fayetteville,NA,12000,0.6,2016-2017,1st,NA
Arizona State University (ASU),NA,17000,0.77,2016-2017,1st,NA
University of Arizona (U of A),NA,16500,0.8,2016-2017,1st,NA
Auburn University (AU),NA,14000,0.65,2016-2017,1st,NA
University of Alabama (UA),NA,19000,0.9,2016-2017,1st,NA
University of Alabama (UA),NA,13500,0.64,2016-2017,1st,NA
Georgetown University,Interdisciplinary Program in Neuroscience,30000,0.97,2017-2018,NA,neuro
Tufts University (TU),Biology,31507,1.13,2016-2017,4th,biology
Tufts University (TU),Physics,29500,1.06,2016-2017,2nd,physics
Louisiana State University - Baton Rouge,Biological Sciences,30000,1.38,2017-2018,1st,biological sciences
University of Miami (UM),Mechanical Engineering,27000,1.13,2016-2017,1st,mechanical engineering
Dartmouth College,MCB,29500,1.19,2017-2018,1st,mcb
University of Wisconsin - Madison (UW),Medical Physics,23675,1.04,2017-2018,1st,physics
Massachusetts Institute of Technology (MIT),Urban Studies & Planning,37680,1.35,2017-2018,1st,urban studies & planning
University of North Carolina - Chapel Hill (UNC),City & Regional Planning,24000,1.08,2016-2017,1st,city & regional planning
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering,24000,1.09,2016-2017,4th,computer science
University of Illinois - Urbana- Champaign (UIUC),Mechanical Engineering,28000,1.27,2017-2018,1st,mechanical engineering
University of California - San Diego (UCSD),bioenginnering,37551,1.42,2016-2017,3rd,bioenginnering
University of Arkansas for Medical Sciences,PEP,24000,1.15,2016-2017,3rd,pep
University of Arkansas for Medical Sciences,Pharmaceutical sciences,24000,1.15,2017-2018,4th,pharmacyceutical sciences
University of Arkansas for Medical Sciences,Pharmacy Practice/Pharmaceutical Sciences,24000,1.15,2017-2018,3rd,pharmacyceutical sciences
New York University (NYU),Biology,38000,1.28,2016-2017,4th,biology
Yale University (YU),Physics,34550,1.4,2017-2018,1st,physics
University of Oregon (UO),Biology,25820,1.23,2017-2018,1st,biology
Virginia Tech,Chemistry,21974,1.04,2017-2018,2nd,chemistry
University of California - Berkeley,Haas - Management,38000,1.37,2017-2018,1st,haas - management
University of Michigan - Ann Arbor (UM),Ross - Strategy,30000,1.3,2017-2018,1st,ross - strategy
Northern Arizona University (NAU),Informatics and Computing,19200,0.82,2016-2017,1st,informatics and computing
Baylor University (BU),Sociology,20398,1.03,2017-2018,NA,sociology
West Virginia University (WVU),Biomedical Engineering,30960,1.39,2016-2017,1st,biomedical engineering
University of Hawaii - Manoa (UH),Psychology,21278,0.7,2016-2017,4th,psychology
Northwestern University (NU),Psychology,29550,1.22,2016-2017,3rd,psychology
Iowa State University (ISU),Animal Science,25200,1.19,2017-2018,1st,animal science
University of Tennessee - Knoxville,Microbiology,18000,0.85,2017-2018,1st,biology
University of Wisconsin - Madison (UW),Pharmacology,27000,1.18,2017-2018,1st,pharmacycology
Ohio State University (OSU),CSE,22080,1.1,2017-2018,4th,cse
Johns Hopkins University (JHU),Neuroscience,32000,1.24,2017-2018,1st,neuro
University of Texas - Dallas (UTD),Cognition and Neuroscience,23333,1.08,2017-2018,2nd,neuro
Tufts University (TU),biology,31500,1.13,2016-2017,1st,biology
Rockefeller University,David Rockefeller Graduate Program,39400,1.32,2017-2018,6th and up,david rockefeller graduate program
University of Kentucky (UK),Toxicology & Cancer Biology,24500,1.2,2017-2018,3rd,biology
Michigan State University (MSU),Forestry,26000,1.27,2017-2018,1st,forestry
Duke University (DU),UPGG,28000,1.26,2015-2016,4th,upgg
University of North Carolina - Charlotte (UNCC),Civil and Environmental Engineering,14500,0.63,2017-2018,2nd,civil and environmental engineering
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,23536,1.01,2017-2018,4th,computer science
University of Maryland - Baltimore (UMB),School of medicine,28000,1.09,2016-2017,1st,school of medicine
Rice University,Sociology,26109,1.19,2017-2018,1st,sociology
Temple University (TU),psychology,25000,1.04,2016-2017,4th,psychology
Indiana University,"Genome, Cell and Developmental Biology",23500,1.09,2016-2017,4th,biology
North Carolina State University (NCSU),Molecular Biomedical Sciences,20000,0.88,2015-2016,1st,molecular biomedical sciences
University of Virginia (UVA),Physics,24000,1.05,2016-2017,NA,physics
Washington University in St. Louis (Wash U),Division of Biological and Biomedical Sciences,30000,1.45,2017-2018,1st,division of biological and biomedical sciences
Rice University,Anthropology,21500,0.98,2017-2018,1st,anthropology
University of California - Berkeley,Anthropology,26000,0.94,2017-2018,1st,anthropology
Emory University,"Population biology, ecology, and evolution",31000,1.33,2017-2018,3rd,biology
Boise State University (BSU),"Ecology, Evolution, & Behavior",25000,1.27,2017-2018,1st,"ecology, evolution, & behavior"
California Institute of Technology (Caltech),Bioengineering,34000,1.31,2016-2017,1st,bioengineering
University of California - Davis (UCD),Population Biology,24000,1,2017-2018,1st,biology
University of Oregon (UO),Biology,26550,1.27,2017-2018,1st,biology
Indiana University,Biology,25000,1.16,2017-2018,1st,biology
Emory University,Neuroscience,29000,1.25,2016-2017,5th,neuro
Stanford University (SU),Economics,38600,1.34,2016-2017,1st,economics
University of California - Berkeley,MCB,35000,1.26,2017-2018,2nd,mcb
Yale University (YU),Immunobiology,35150,1.42,2017-2018,1st,biology
University of California - Berkeley,Helen Wills Neuroscience,36000,1.3,2017-2018,3rd,neuro
Oregon State University (OSU),Biochemistry and biophysics,23850,1.14,2016-2017,3rd,chemistry
Clemson University (CU),Human Centered Computing,21000,1.01,2017-2018,2nd,human centered computing
University of Florida (UF),Mechanical engineering,30200,1.33,2016-2017,1st,mechanical engineering
University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,27000,1.18,2017-2018,1st,biology
Boston University (BU),Earth & Environment,30750,1.07,2016-2017,4th,geoscience
North Dakota State University (NDSU),Genomics and Bioinformatics,18325,0.96,2017-2018,3rd,genomics and bioinformatics
Colorado State University (CSU),"Fish, Wildlife, and Conservation Biology",21232,0.95,2017-2018,3rd,biology
Harvard University (HU),Biology,37225,1.3,2017-2018,NA,biology
North Carolina State University (NCSU),"Marine, Earth, and Atmospheric Sciences",23500,1.03,2017-2018,2nd,geoscience
Georgia Institute of Technology (Georgia Tech),Physics,22068,0.95,2017-2018,5th,physics
Georgia Institute of Technology (Georgia Tech),Electrical engineering,22500,0.97,2016-2017,4th,electrical engineering
Harvard University (HU),School of Engineering and Applied Sciences,30550,1.07,2016-2017,1st,school of engineering and applied sciences
Stony Brook University - SUNY,Physics,25900,0.93,2016-2017,4th,physics
University of Tennessee - Knoxville,Earth and Planetary Science,13800,0.65,2016-2017,NA,geoscience
University of South Florida (UCF),Industrial Engineering and Management Sciences,19200,0.88,2016-2017,NA,industrial engineering and management sciences
SUNY College of Environmental Science and Forestry,EFB,30900,1.45,2016-2017,4th,efb
University of Pennsylvania,Mechanical Engineering and Applied Mechanics,33000,1.37,2017-2018,2nd,mechanical engineering and applied mechanics
Harvard University (HU),Biostatistics,36000,1.26,2017-2018,1st,biostatistics
University of Tennessee - Knoxville,Microbiology,19900,0.94,2017-2018,2nd,biology
University of Tennessee - Knoxville,Microbiology,17400,0.82,2016-2017,1st,biology
Colorado State University (CSU),Ecosystem Science & Sustainability,25000,1.11,2016-2017,3rd,ecosystem science & sustainability
University of Wisconsin - Madison (UW),Agroecology,20200,0.88,2016-2017,2nd,agroecology
University of Colorado - Denver (UCD),Immunology and Microbiology,30000,1.34,2017-2018,2nd,biology
University of Wisconsin - Madison (UW),Population Health Science,23032,1.01,2016-2017,4th,health
University of Kentucky (UK),Pharmacology & Nutritional Sciences,25000,1.22,2016-2017,6th and up,pharmacycology & nutritional sciences
Stanford University (SU),Earth System Science,37000,1.29,2015-2016,5th,geoscience
Louisiana State University - Baton Rouge,Oceanography and Coastal Sciences,22000,1.01,2017-2018,3rd,oceanography and coastal sciences
Duke University (DU),Psychology and neuroscience,34000,1.53,2017-2018,2nd,neuro
University of Arkansas - Fayetteville,Educational Statistics and Research Methods,12000,0.6,2016-2017,NA,educational statistics and research methods
Louisiana State University - Baton Rouge,Biological Sciences,18500,0.85,2017-2018,4th,biological sciences
University of Cincinnati (UC),Cancer and Cell Biology,29000,1.5,2017-2018,4th,biology
University of North Carolina - Chapel Hill (UNC),Psychology,20000,1.06,2002-2003,NA,psychology
University of Cincinnati (UC),Cancer and Cell Biology,29000,1.5,2017-2018,NA,biology
Duke University (DU),CMB,30550,1.37,2016-2017,1st,cmb
Johns Hopkins University (JHU),NA,32000,1.24,2016-2017,2nd,NA
Mount Sinai School of Medicine,Neuroscience,34000,1.14,2017-2018,1st,neuro
Duke University (DU),Molecular Genetics and Microbiology,30000,1.35,2016-2017,6th and up,biology
University of Kentucky (UK),Biochemistry,25000,1.22,2017-2018,5th,chemistry
Boston University (BU),Earth and environment,32000,1.12,2017-2018,1st,geoscience
Duke University (DU),University Program in Genetics and Genomics,31300,1.41,2017-2018,2nd,biology
University of Wisconsin - Madison (UW),Atmospheric and Oceanic SCiences,26082,1.14,2017-2018,1st,atmospheric and oceanic sciences
Duke University (DU),NA,34000,1.53,2017-2018,NA,NA
Duke University (DU),Ecology,27500,1.24,2017-2018,3rd,ecology
Georgetown University,Neurology,48000,1.56,2017-2018,1st,neuro
University of Massachusetts - Amherst (UMass),Plant Biology,24000,1.05,2017-2018,1st,biology
University of California - San Francisco (UCSF),Biophysics,37000,1.24,2016-2017,5th,physics
Duke University (DU),Chemistry,29500,1.33,2017-2018,3rd,chemistry
Baylor College of Medicine,Developmental Biology/ MD-PhD,31000,1.42,2017-2018,3rd,biology
Duke University (DU),Biochemistry,31000,1.39,2017-2018,4th,chemistry
University of Michigan - Ann Arbor (UM),Computational Medicine and Bioinformatics,25000,1.08,2017-2018,3rd,computational medicine and bioinformatics
Lehigh University,Psychology,34000,1.52,2017-2018,1st,psychology
The Catholic University of America,Psychology,20000,0.7,2010-2011,NA,psychology
University of Georgia (UGA),Microbiology,23334,1.1,2016-2017,3rd,biology
Arizona State University (ASU),Civil engineering,30300,1.37,2017-2018,1st,civil engineering
Stanford University (SU),Psychology,38308,1.33,2017-2018,2nd,psychology
University of Rochester (UR),Brain and Cognitive Sciences,32000,1.5,2016-2017,2nd,brain and cognitive sciences
Rutgers the State University of New Jersey - New Brunswick,Oceanography,28300,1.1,2016-2017,2nd,oceanography
Massachusetts Institute of Technology (MIT),Civil Environmental Engineering (CEE),43700,1.56,2016-2017,1st,civil environmental engineering (cee)
Florida International University (FIU),Psychology,19800,0.83,2016-2017,2nd,psychology
Harvard University (HU),Psychology,33600,1.17,2017-2018,2nd,psychology
Florida State University (FSU),Neuroscience,19800,0.85,2017-2018,1st,neuro
University of Pennsylvania,Biomedical Graduate Studies,32000,1.33,2017-2018,NA,biomedical graduate studies
Rutgers the State University of New Jersey - New Brunswick,DMCS,28800,1.1,2012-2013,2nd,dmcs
Louisiana State University - Baton Rouge,Clinical psychology,18000,0.83,2017-2018,2nd,psychology
Yale University (YU),Biomedical Engineering,33850,1.37,2017-2018,1st,biomedical engineering
Carnegie Mellon University (CMU),Mechanical Engineering,27998,1.35,2016-2017,3rd,mechanical engineering
Johns Hopkins University (JHU),Political Science,29000,1.13,2016-2017,1st,political science
Indiana University,Anatomy and Cell Biology,27000,1.25,2017-2018,2nd,biology
Iowa State University (ISU),Bioinformatics and Computational Biology,22700,1.07,2016-2017,4th,biology
University of California - Berkeley,Plant and Microbial Biology,27416,1.15,2010-2011,3rd,biology
Rockefeller University,NA,39000,1.31,2016-2017,4th,NA
University of Massachusetts - Amherst (UMass),Kinesiology,20984,0.92,2017-2018,3rd,kinesiology
University of Texas Health Science Center - Houston,MD/PhD,32000,1.46,2016-2017,4th,md/phd
Duke University (DU),Genetics and Genomics,27800,1.48,2012-2013,5th,biology
Cornell University (CU),PBSB,36000,1.48,2016-2017,4th,pbsb
University of Chicago (UC),Comparative Human Development,27448,1.13,2017-2018,2nd,comparative human development
Harvard University (HU),Systems Biology,37260,1.3,2017-2018,6th and up,biology
Florida State University (FSU),Social Work,15000,0.76,2014-2015,NA,social work
Michigan State University (MSU),Psychology,24000,1.3,2010-2011,1st,psychology
University of Washington (UW),Electrical Engineer,29900,1.28,2017-2018,5th,electrical engineer
Auburn University (AU),"Anatomy, Physiology, and Pharmacology",20200,0.93,2017-2018,3rd,pharmacycology
Harvard University (HU),Neurobiology/Program in Neuroscience,37260,1.3,2017-2018,6th and up,biology
St. Louis University (SLU),Psychology,21500,1.04,2016-2017,2nd,psychology
St. Louis University (SLU),Psychology,21500,1.04,2016-2017,1st,psychology
CUNY Graduate School and University Center,Spanish,26000,0.87,2017-2018,1st,spanish
University of Missouri (MU),Biological Sciences,27000,1.31,2016-2017,4th,biological sciences
University of Washington (UW),Speech and Hearing Sciences,34000,1.46,2016-2017,4th,speech and hearing sciences
Indiana University- Purdue University - Indianapolis (IUPUI),IBMG,27000,1.31,2017-2018,1st,ibmg
University of North Carolina - Chapel Hill (UNC),Neuroscience,31000,1.39,2017-2018,2nd,neuro
Washington University in St. Louis (Wash U),DBBS,30000,1.45,2017-2018,1st,dbbs
University of California - Irvine (UCI),Anatomy & Neurobiology,32000,1.09,2017-2018,3rd,biology
University of California - Riverside (UCR),Entomology,19600,0.81,2016-2017,3rd,entomology
Brandeis University,Neuroscience,30000,1.07,2016-2017,6th and up,neuro
Creighton University (CU),Biomedical Sciences,26481,1.31,2016-2017,5th,biomedical sciences
Georgetown University,Biology,32000,1.04,2017-2018,1st,biology
Worcester Polytechnic Institute (WPI),Chemical engineering,29000,1.29,2017-2018,3rd,chemical engineering
University of Wisconsin - Madison (UW),Political Science,20000,0.88,2016-2017,1st,political science
University of Massachusetts - Amherst (UMass),Physics,20862,0.91,2016-2017,NA,physics
Northwestern University (NU),Physics,30800,1.27,2016-2017,NA,physics
University of Oklahoma (OU),Physics,21600,1.07,2016-2017,NA,physics
Northeastern University (NU),Physics,23190,0.81,2016-2017,NA,physics
University of Tennessee - Knoxville,Physics,21500,1.01,2016-2017,NA,physics
Rice University,Physics,30500,1.4,2016-2017,NA,physics
University of California - San Francisco (UCSF),BMI,37000,1.24,2017-2018,4th,bmi
University of Minnesota - Twin Cities (UM),Computer Science,26000,1.13,2017-2018,1st,computer science
Clemson University (CU),Physics,20000,0.96,2016-2017,NA,physics
University of California - Santa Cruz,Physics,20051,0.74,2016-2017,NA,physics
University of California - San Diego (UCSD),Physics,20051,0.76,2016-2017,NA,physics
University of California - Riverside (UCR),Physics,20051,0.83,2016-2017,NA,physics
University of Virginia (UVA),Physics,20000,0.88,2016-2017,NA,physics
Purdue University - West Lafayette,Physics,19972,0.94,2016-2017,NA,physics
Kansas State University (K-State),Physics,18000,0.81,2016-2017,NA,physics
West Virginia University (WVU),Physics,23500,1.05,2016-2017,NA,physics
University of Wisconsin - Madison (UW),Physics,24000,1.05,2016-2017,NA,physics
University of Wisconsin - Milwaukee (UWM),Physics,23676,1.1,2016-2017,NA,physics
University of Alabama - Birmingham (UAB),Physics,24000,1.11,2016-2017,NA,physics
Old Dominion University (ODU),Physics,24000,0.9,2016-2017,NA,physics
University of Maryland - Baltimore County (UMBC),Physics,24000,0.93,2016-2017,NA,physics
Tufts University (TU),Physics,24200,0.87,2016-2017,NA,physics
